uniques,count,timestamp,day,mo,yr,collection_timestamp
22,107,2020-02-10T00:00:00Z,10,02,2020,2020-02-24 09:37:50.465366
92,346,2020-02-11T00:00:00Z,11,02,2020,2020-02-24 09:37:50.465366
87,309,2020-02-12T00:00:00Z,12,02,2020,2020-02-24 09:37:50.465366
85,313,2020-02-13T00:00:00Z,13,02,2020,2020-02-24 09:37:50.465366
72,223,2020-02-14T00:00:00Z,14,02,2020,2020-02-24 09:37:50.465366
44,133,2020-02-15T00:00:00Z,15,02,2020,2020-02-24 09:37:50.465366
41,147,2020-02-16T00:00:00Z,16,02,2020,2020-02-24 09:37:50.465366
99,351,2020-02-17T00:00:00Z,17,02,2020,2020-02-24 09:37:50.465366
80,191,2020-02-18T00:00:00Z,18,02,2020,2020-02-24 09:37:50.465366
104,255,2020-02-19T00:00:00Z,19,02,2020,2020-02-24 09:37:50.465366
79,316,2020-02-20T00:00:00Z,20,02,2020,2020-02-24 09:37:50.465366
83,373,2020-02-21T00:00:00Z,21,02,2020,2020-02-24 09:37:50.465366
39,174,2020-02-22T00:00:00Z,22,02,2020,2020-02-24 09:37:50.465366
48,232,2020-02-23T00:00:00Z,23,02,2020,2020-02-24 09:37:50.465366
47,121,2020-02-24T00:00:00Z,24,02,2020,2020-02-24 09:37:50.465366
